date,p_state_0,p_state_1,p_state_2,hard_state,max_prob
2023-02-01,3.8557494813206094e-07,0.9998331455697769,0.00016646885527496,1,0.9998331455697769
2023-02-02,0.0006850338378632771,0.9993146994175883,2.667445486428079e-07,1,0.9993146994175883
2023-02-03,0.00044077077043902117,0.999548021874918,1.1207354643006234e-05,1,0.999548021874918
2023-02-06,0.0003368496867954884,0.9972375190976791,0.0024256312155252046,1,0.9972375190976791
2023-02-07,0.0005631135889634035,0.9994295546531075,7.331757928920149e-06,1,0.9994295546531075
2023-02-08,0.00046277439412074645,0.9995285258157818,8.699790097514328e-06,1,0.9995285258157818
2023-02-09,0.0003477837120082635,0.9995704635938952,8.175269409635159e-05,1,0.9995704635938952
2023-02-10,0.0003013041153769873,0.9972672532467003,0.002431442637922667,1,0.9972672532467003
2023-02-13,0.00040024600962367034,0.9995928806301885,6.873360187697922e-06,1,0.9995928806301885
2023-02-14,0.00035887989072287343,0.998405203240894,0.00123591686838327,1,0.998405203240894
2023-02-15,0.00031624072986199844,0.9900822871424737,0.009601472127664499,1,0.9900822871424737
2023-02-16,0.0008147666983838674,0.9991847624485573,4.7085305901097754e-07,1,0.9991847624485573
2023-02-17,0.0003685298620169372,0.9869911363851901,0.012640333752793087,1,0.9869911363851901
2023-02-21,0.005539097816182744,0.994460902180076,3.741548071124051e-12,1,0.994460902180076
2023-02-22,0.000381465402817772,0.997293448804853,0.00232508579232905,1,0.997293448804853
2023-02-23,0.00026233731228722296,0.9984704200182725,0.0012672426694403179,1,0.9984704200182725
2023-02-24,0.00044494937567693404,0.9995419750570949,1.3075567227948449e-05,1,0.9995419750570949
2023-02-27,0.00028084883719242513,0.9975287467888786,0.002190404373929115,1,0.9975287467888786
2023-02-28,0.00031254507486124753,0.996146320900377,0.00354113402476159,1,0.996146320900377
2023-03-01,0.00035455341428411035,0.9858653745583623,0.01378007202735372,1,0.9858653745583623
2023-03-02,0.0003541883010954956,0.9930149332233922,0.006630878475512085,1,0.9930149332233922
2023-03-03,0.0012148225053781679,0.9987847320247792,4.4546984261030374e-07,1,0.9987847320247792
2023-03-06,0.00046282008786213257,0.9665534627207731,0.03298371719136473,1,0.9665534627207731
2023-03-07,0.0013559269199316059,0.998643819078579,2.5400148936253606e-07,1,0.998643819078579
2023-03-08,0.00042344219892937216,0.9586079047256513,0.04096865307541945,1,0.9586079047256513
2023-03-09,0.0035689221650723343,0.9964310767835051,1.0514227733471276e-09,1,0.9964310767835051
2023-03-10,0.0010890171043338441,0.9989107153486305,2.67547035779667e-07,1,0.9989107153486305
2023-03-13,0.00037876923135545334,0.9918896448780048,0.007731585890639724,1,0.9918896448780048
2023-03-14,0.0011501579306923031,0.9988498094428757,3.2626432016278414e-08,1,0.9988498094428757
2023-03-15,0.0003093321865393193,0.999030488330109,0.0006601794833518401,1,0.999030488330109
2023-03-16,0.0013414155512917526,0.998658583941415,5.072931070804396e-10,1,0.998658583941415
2023-03-17,0.0004892235807871711,0.9995100489750237,7.274441889108127e-07,1,0.9995100489750237
2023-03-20,0.0002860169470125115,0.999705940478419,8.042574568505347e-06,1,0.999705940478419
2023-03-21,0.0004876376963623313,0.9995116906171163,6.716865212158837e-07,1,0.9995116906171163
2023-03-22,0.0016826434990720842,0.9983173564478662,5.3061788828147484e-11,1,0.9983173564478662
2023-03-23,0.00026678780553201717,0.9995904332786674,0.00014277891580076224,1,0.9995904332786674
2023-03-24,0.00023671205993479276,0.9996988173289922,6.447061107304325e-05,1,0.9996988173289922
2023-03-27,0.00027980855916191907,0.9994919716980466,0.00022821974279164112,1,0.9994919716980466
2023-03-28,0.00028254570262146864,0.9995195723157042,0.00019788198167440814,1,0.9995195723157042
2023-03-29,0.0006022925832567269,0.9993976956093311,1.1807412318708073e-08,1,0.9993976956093311
2023-03-30,0.00023163373438093152,0.9997291322277974,3.9234037821709175e-05,1,0.9997291322277974
2023-03-31,0.0005533224779542689,0.9994466430764807,3.4445564825236245e-08,1,0.9994466430764807
2023-04-03,0.00024249605776954013,0.9996554901656209,0.0001020137766093747,1,0.9996554901656209
2023-04-04,0.0002673140114691347,0.9995813587409063,0.00015132724762471943,1,0.9995813587409063
2023-04-05,0.0002827191648345861,0.9993481451466503,0.0003691356885150199,1,0.9993481451466503
2023-04-06,0.00029042362430575926,0.9951118058109045,0.004597770564789832,1,0.9951118058109045
2023-04-10,0.00042592276689580475,0.9651167907345208,0.0344572864985832,1,0.9651167907345208
2023-04-11,0.00046144542665260056,0.9347998564327746,0.06473869814057293,1,0.9347998564327746
2023-04-12,0.00037774523596900185,0.8739445183641651,0.12567773639986582,1,0.8739445183641651
2023-04-13,0.0007815102833064657,0.9989131274192863,0.0003053622974071176,1,0.9989131274192863
2023-04-14,0.00047281127411255856,0.8751370060675071,0.12439018265838027,1,0.8751370060675071
2023-04-17,0.00016464118424362075,0.2627205253056828,0.7371148335100737,2,0.7371148335100737
2023-04-18,1.92765322049455e-05,0.01650077906759697,0.983479944400198,2,0.983479944400198
2023-04-19,5.565332853770318e-06,0.0010660991129655762,0.9989283355541806,2,0.9989283355541806
2023-04-20,4.973770168366061e-06,0.00041850825328131655,0.9995765179765503,2,0.9995765179765503
2023-04-21,1.9493033391366104e-06,0.00013234343909869273,0.9998657072575622,2,0.9998657072575622
2023-04-24,1.7840283237381703e-06,0.00011829706829101195,0.9998799189033852,2,0.9998799189033852
