ticker,horizon,loss,model,in_mcs,mcs_p,set_size
GLD,20,qlike,gbm_pooled,True,0.117,9
GLD,20,qlike,har,True,0.117,9
GLD,20,qlike,regime_features,True,0.117,9
GLD,20,qlike,regime_normal,True,0.117,9
GLD,20,qlike,regime_shrunk,True,0.117,9
GLD,20,qlike,ridge,True,0.117,9
HYG,1,mse,ewma,False,0.0445,6
HYG,1,mse,garch11,True,0.3385,6
HYG,1,mse,gbm_gated,False,0.0,6
HYG,1,mse,gbm_pooled,False,0.0,6
HYG,1,mse,har,True,0.3385,6
HYG,1,mse,regime_features,True,0.3385,6
HYG,1,mse,regime_normal,True,0.3385,6
HYG,1,mse,regime_shrunk,True,0.3385,6
HYG,1,mse,ridge,True,0.3385,6
HYG,1,qlike,ewma,False,0.002,7
HYG,1,qlike,garch11,True,0.217,7
HYG,1,qlike,gbm_gated,False,0.002,7
HYG,1,qlike,gbm_pooled,True,0.217,7
HYG,1,qlike,har,True,0.217,7
HYG,1,qlike,regime_features,True,0.217,7
HYG,1,qlike,regime_normal,True,0.217,7
HYG,1,qlike,regime_shrunk,True,0.217,7
HYG,1,qlike,ridge,True,0.217,7
HYG,5,mse,ewma,False,0.046,5
HYG,5,mse,garch11,True,0.1275,5
HYG,5,mse,gbm_gated,False,0.0435,5
HYG,5,mse,gbm_pooled,False,0.046,5
HYG,5,mse,har,False,0.046,5
HYG,5,mse,regime_features,True,0.1275,5
HYG,5,mse,regime_normal,True,0.1275,5
HYG,5,mse,regime_shrunk,True,0.1275,5
HYG,5,mse,ridge,True,0.1275,5
HYG,5,qlike,ewma,True,0.2545,6
HYG,5,qlike,garch11,True,0.2545,6
HYG,5,qlike,gbm_gated,False,0.003,6
HYG,5,qlike,gbm_pooled,False,0.003,6
HYG,5,qlike,har,True,0.2545,6
HYG,5,qlike,regime_features,True,0.2545,6
HYG,5,qlike,regime_normal,False,0.003,6
HYG,5,qlike,regime_shrunk,True,0.2545,6
HYG,5,qlike,ridge,True,0.2545,6
HYG,20,mse,ewma,True,0.307,9
HYG,20,mse,garch11,True,0.307,9
HYG,20,mse,gbm_gated,True,0.307,9
HYG,20,mse,gbm_pooled,True,0.307,9
HYG,20,mse,har,True,0.307,9
HYG,20,mse,regime_features,True,0.307,9
HYG,20,mse,regime_normal,True,0.307,9
HYG,20,mse,regime_shrunk,True,0.307,9
HYG,20,mse,ridge,True,0.307,9
HYG,20,qlike,ewma,True,0.2505,9
HYG,20,qlike,garch11,True,0.2505,9
HYG,20,qlike,gbm_gated,True,0.2505,9
HYG,20,qlike,gbm_pooled,True,0.2505,9
HYG,20,qlike,har,True,0.2505,9
HYG,20,qlike,regime_features,True,0.2505,9
HYG,20,qlike,regime_normal,True,0.2505,9
HYG,20,qlike,regime_shrunk,True,0.2505,9
HYG,20,qlike,ridge,True,0.2505,9
IWM,1,mse,ewma,True,0.316,4
IWM,1,mse,garch11,True,0.316,4
IWM,1,mse,gbm_gated,False,0.0,4
IWM,1,mse,gbm_pooled,False,0.0,4
IWM,1,mse,har,False,0.001,4
IWM,1,mse,regime_features,False,0.001,4
IWM,1,mse,regime_normal,False,0.001,4
IWM,1,mse,regime_shrunk,True,0.316,4
IWM,1,mse,ridge,True,0.316,4
IWM,1,qlike,ewma,True,0.1785,4
IWM,1,qlike,garch11,True,0.1785,4
IWM,1,qlike,gbm_gated,False,0.0005,4
IWM,1,qlike,gbm_pooled,False,0.0,4
IWM,1,qlike,har,False,0.0005,4
IWM,1,qlike,regime_features,False,0.0005,4
IWM,1,qlike,regime_normal,False,0.0005,4
IWM,1,qlike,regime_shrunk,True,0.1785,4
IWM,1,qlike,ridge,True,0.1785,4
IWM,5,mse,ewma,True,0.156,4
IWM,5,mse,garch11,True,0.156,4
IWM,5,mse,gbm_gated,False,0.005,4
IWM,5,mse,gbm_pooled,False,0.005,4
IWM,5,mse,har,False,0.005,4
IWM,5,mse,regime_features,False,0.051,4
IWM,5,mse,regime_normal,False,0.005,4
IWM,5,mse,regime_shrunk,True,0.156,4
IWM,5,mse,ridge,True,0.156,4
IWM,5,qlike,ewma,True,0.101,5
IWM,5,qlike,garch11,True,0.101,5
IWM,5,qlike,gbm_gated,False,0.0055,5
IWM,5,qlike,gbm_pooled,False,0.0055,5
IWM,5,qlike,har,False,0.0055,5
IWM,5,qlike,regime_features,True,0.101,5
IWM,5,qlike,regime_normal,False,0.0055,5
IWM,5,qlike,regime_shrunk,True,0.101,5
IWM,5,qlike,ridge,True,0.101,5
IWM,20,mse,ewma,True,0.443,6
IWM,20,mse,garch11,True,0.443,6
IWM,20,mse,gbm_gated,False,0.0955,6
IWM,20,mse,gbm_pooled,False,0.0955,6
IWM,20,mse,har,True,0.443,6
IWM,20,mse,regime_features,True,0.443,6
IWM,20,mse,regime_normal,False,0.0955,6
IWM,20,mse,regime_shrunk,True,0.443,6
IWM,20,mse,ridge,True,0.443,6
IWM,20,qlike,ewma,True,0.9435,6
IWM,20,qlike,garch11,True,0.9435,6
IWM,20,qlike,gbm_gated,False,0.065,6
IWM,20,qlike,gbm_pooled,False,0.065,6
IWM,20,qlike,har,True,0.9435,6
IWM,20,qlike,regime_features,True,0.9435,6
IWM,20,qlike,regime_normal,False,0.065,6
IWM,20,qlike,regime_shrunk,True,0.9435,6
IWM,20,qlike,ridge,True,0.9435,6
JPM,1,mse,ewma,True,0.5705,4
JPM,1,mse,garch11,True,0.5705,4
JPM,1,mse,gbm_gated,False,0.0,4
JPM,1,mse,gbm_pooled,False,0.0,4
JPM,1,mse,har,False,0.012,4
JPM,1,mse,regime_features,False,0.012,4
JPM,1,mse,regime_normal,False,0.001,4
JPM,1,mse,regime_shrunk,True,0.5705,4
JPM,1,mse,ridge,True,0.5705,4
JPM,1,qlike,ewma,True,0.583,6
JPM,1,qlike,garch11,True,0.583,6
JPM,1,qlike,gbm_gated,False,0.005,6
JPM,1,qlike,gbm_pooled,False,0.005,6
JPM,1,qlike,har,False,0.016,6
JPM,1,qlike,regime_features,True,0.583,6
JPM,1,qlike,regime_normal,True,0.583,6
JPM,1,qlike,regime_shrunk,True,0.583,6
JPM,1,qlike,ridge,True,0.583,6
JPM,5,mse,ewma,True,0.185,4
JPM,5,mse,garch11,True,0.185,4
JPM,5,mse,gbm_gated,False,0.007,4
JPM,5,mse,gbm_pooled,False,0.007,4
JPM,5,mse,har,True,0.185,4
JPM,5,mse,regime_features,False,0.007,4
JPM,5,mse,regime_normal,False,0.084,4
JPM,5,mse,regime_shrunk,False,0.084,4
JPM,5,mse,ridge,True,0.185,4
JPM,5,qlike,ewma,True,0.2035,5
JPM,5,qlike,garch11,True,0.2035,5
JPM,5,qlike,gbm_gated,False,0.0265,5
JPM,5,qlike,gbm_pooled,False,0.005,5
JPM,5,qlike,har,True,0.2035,5
JPM,5,qlike,regime_features,False,0.005,5
JPM,5,qlike,regime_normal,True,0.2035,5
JPM,5,qlike,regime_shrunk,True,0.2035,5
JPM,5,qlike,ridge,False,0.0265,5
JPM,20,mse,ewma,True,0.1355,6
JPM,20,mse,garch11,True,0.1355,6
JPM,20,mse,gbm_gated,False,0.0295,6
JPM,20,mse,gbm_pooled,False,0.0425,6
JPM,20,mse,har,True,0.1355,6
JPM,20,mse,regime_features,False,0.079,6
JPM,20,mse,regime_normal,True,0.1355,6
JPM,20,mse,regime_shrunk,True,0.1355,6
JPM,20,mse,ridge,True,0.1355,6
JPM,20,qlike,ewma,True,0.1025,9
JPM,20,qlike,garch11,True,0.1025,9
JPM,20,qlike,gbm_gated,True,0.1025,9
JPM,20,qlike,gbm_pooled,True,0.1025,9
JPM,20,qlike,har,True,0.1025,9
JPM,20,qlike,regime_features,True,0.1025,9
JPM,20,qlike,regime_normal,True,0.1025,9
JPM,20,qlike,regime_shrunk,True,0.1025,9
JPM,20,qlike,ridge,True,0.1025,9
KO,1,mse,ewma,True,0.2155,3
KO,1,mse,garch11,True,0.2155,3
KO,1,mse,gbm_gated,False,0.0,3
KO,1,mse,gbm_pooled,False,0.0,3
KO,1,mse,har,True,0.2155,3
KO,1,mse,regime_features,False,0.0005,3
KO,1,mse,regime_normal,False,0.0,3
KO,1,mse,regime_shrunk,False,0.001,3
KO,1,mse,ridge,False,0.048,3
KO,1,qlike,ewma,True,0.1105,5
KO,1,qlike,garch11,True,0.1105,5
KO,1,qlike,gbm_gated,False,0.0025,5
KO,1,qlike,gbm_pooled,False,0.0025,5
KO,1,qlike,har,True,0.1105,5
KO,1,qlike,regime_features,False,0.015,5
KO,1,qlike,regime_normal,False,0.0025,5
KO,1,qlike,regime_shrunk,True,0.1105,5
KO,1,qlike,ridge,True,0.1105,5
KO,5,mse,ewma,True,0.1155,3
KO,5,mse,garch11,True,0.1155,3
KO,5,mse,gbm_gated,False,0.0385,3
KO,5,mse,gbm_pooled,False,0.0385,3
KO,5,mse,har,False,0.0385,3
KO,5,mse,regime_features,False,0.0385,3
KO,5,mse,regime_normal,False,0.0385,3
KO,5,mse,regime_shrunk,False,0.0385,3
KO,5,mse,ridge,True,0.1155,3
KO,5,qlike,ewma,True,0.1935,5
KO,5,qlike,garch11,True,0.1935,5
KO,5,qlike,gbm_gated,False,0.079,5
KO,5,qlike,gbm_pooled,False,0.079,5
KO,5,qlike,har,True,0.1935,5
KO,5,qlike,regime_features,False,0.079,5
KO,5,qlike,regime_normal,False,0.079,5
KO,5,qlike,regime_shrunk,True,0.1935,5
KO,5,qlike,ridge,True,0.1935,5
KO,20,mse,ewma,True,0.284,2
KO,20,mse,garch11,True,0.284,2
KO,20,mse,gbm_gated,False,0.038,2
KO,20,mse,gbm_pooled,False,0.038,2
KO,20,mse,har,False,0.038,2
KO,20,mse,regime_features,False,0.038,2
KO,20,mse,regime_normal,False,0.038,2
KO,20,mse,regime_shrunk,False,0.038,2
KO,20,mse,ridge,False,0.045,2
KO,20,qlike,ewma,True,0.3045,9
KO,20,qlike,garch11,True,0.3045,9
KO,20,qlike,gbm_gated,True,0.3045,9
KO,20,qlike,gbm_pooled,True,0.3045,9
KO,20,qlike,har,True,0.3045,9
KO,20,qlike,regime_features,True,0.3045,9
KO,20,qlike,regime_normal,True,0.3045,9
KO,20,qlike,regime_shrunk,True,0.3045,9
KO,20,qlike,ridge,True,0.3045,9
MSFT,1,mse,ewma,True,0.13,6
MSFT,1,mse,garch11,True,0.13,6
MSFT,1,mse,gbm_gated,False,0.001,6
MSFT,1,mse,gbm_pooled,False,0.0005,6
MSFT,1,mse,har,True,0.13,6
MSFT,1,mse,regime_features,True,0.13,6
MSFT,1,mse,regime_normal,False,0.0045,6
MSFT,1,mse,regime_shrunk,True,0.13,6
MSFT,1,mse,ridge,True,0.13,6
MSFT,1,qlike,ewma,True,0.163,4
MSFT,1,qlike,garch11,False,0.0445,4
MSFT,1,qlike,gbm_gated,False,0.0445,4
MSFT,1,qlike,gbm_pooled,False,0.086,4
MSFT,1,qlike,har,False,0.0445,4
MSFT,1,qlike,regime_features,True,0.163,4
MSFT,1,qlike,regime_normal,False,0.0445,4
MSFT,1,qlike,regime_shrunk,True,0.163,4
MSFT,1,qlike,ridge,True,0.163,4
MSFT,5,mse,ewma,True,0.7425,5
MSFT,5,mse,garch11,True,0.7425,5
MSFT,5,mse,gbm_gated,False,0.023,5
MSFT,5,mse,gbm_pooled,False,0.023,5
