target,horizon,target_family,model,model_family,n_oos,rmse,mae,qlike,spearman,top_decile_hit,rmse_hv_now,mae_hv_now,rmse_hv_fut,mae_hv_fut,sel_K_mean,sel_K_mode,sel_soft_frac,ablation_train,ablation_test
y_rv_h20,20,realized_vol,regime_normal,regime,3771,0.005034804214725465,0.003074064082109765,0.49631535167924845,0.46993882059270364,0.48148148148148145,0.008267393424220705,0.005100533438504423,0.013244795009489798,0.009485696072203478,2.6666666666666665,2.0,0.8,true,true
y_rv_h20,20,realized_vol,regime_single,regime,3771,0.004867099010114743,0.0029122363069397357,0.46421275985533406,0.5171380923516846,0.5211640211640212,0.00776946001124906,0.004530414210084906,0.012833730874011911,0.00894167641739105,2.0,2.0,0.0,single,single
y_rv_h20,20,realized_vol,ridge,baseline,3771,0.004867099010114743,0.0029122363069397357,0.46421275985533406,0.5171380923516846,0.5211640211640212,0.00776946001124906,0.004530414210084906,0.012833730874011911,0.00894167641739105,,,,,
y_rv_h20,20,realized_vol,rw_vol,baseline,3771,0.00570586145504072,0.0033626909659638968,0.6026371395023307,0.4942250827149259,0.5052910052910053,0.011566122792304113,0.0077567158454274095,0.014190375174698405,0.009484191371107998,,,,,
y_rv_h20,20,realized_vol,train_mean,baseline,3771,0.006388900924788949,0.004493985596687401,0.8798262170484019,-0.06422886621151926,0.0,0.011531837856514496,0.007378359812366943,0.015910754658558384,0.012554755013875233,,,,,
y_rv_h20,20,realized_vol,zero,baseline,3771,0.01085174747290462,0.009167829473430655,8.373583145889215,0.0,0.10023866348448687,0.018583398180760352,0.01641653032289386,0.023738528008620127,0.021819862188115262,,,,,
y_rv_h5,5,realized_vol,ewma,baseline,3771,0.005234211509802688,0.0032365025792032635,0.5626483197875907,0.5396517127395009,0.5343915343915344,0.010531016222558497,0.00611774933951503,0.01338629775101518,0.009435657454234778,,,,,
y_rv_h5,5,realized_vol,garch11,baseline,3771,0.0048837921573316855,0.0031270982743888233,0.5158844923096892,0.5610818268253739,0.5185185185185185,0.009205328509180676,0.005784205083963942,0.012175905214089807,0.008984691356321689,,,,,
y_rv_h5,5,realized_vol,har,baseline,3771,0.004990206181393709,0.003169480511331627,0.5361890306296856,0.5580329619184282,0.5026455026455027,0.009608171146830706,0.005878441121228254,0.0124767018293107,0.009070577689172968,,,,,
y_rv_h5,5,realized_vol,regime_both_shuffle,regime,3771,0.004764972559905333,0.0029929513817869686,0.6624081863334518,0.6178310778340294,0.5370370370370371,0.009368265413191615,0.005792545099960381,0.012010905608408827,0.008506217614194593,2.7333333333333334,2.0,0.7333333333333333,shuffle,shuffle
y_rv_h5,5,realized_vol,regime_expert_shuffle,regime,3771,0.004784718983792182,0.0030022184172355994,0.6721419504578244,0.6192971786192231,0.5291005291005291,0.009504745716881268,0.00599026700243568,0.012144196447489226,0.008759903076551225,2.6666666666666665,2.0,0.4666666666666667,shuffle,true
y_rv_h5,5,realized_vol,regime_gate_shuffle,regime,3771,0.004843967098693883,0.0030318140118463397,0.7076787208256987,0.611091733011552,0.5317460317460317,0.00941161487516287,0.005579431627921093,0.012308012761452889,0.008704690107118718,2.6,2.0,0.9333333333333332,true,shuffle
y_rv_h5,5,realized_vol,regime_normal,regime,3771,0.004925059221217329,0.003028415245837642,0.5974706024208444,0.6209329261853554,0.5634920634920635,0.010067125418339366,0.005952107946498189,0.012693815328730755,0.008874459668977925,3.1333333333333333,3.0,0.7333333333333333,true,true
y_rv_h5,5,realized_vol,regime_single,regime,3771,0.004719030293990544,0.002929560706404676,0.5584944056689304,0.6346227887726332,0.5423280423280423,0.009287287623476708,0.00558819454978305,0.011979889063438614,0.008407052383785446,2.0,2.0,0.0,single,single
y_rv_h5,5,realized_vol,ridge,baseline,3771,0.004719030293990544,0.002929560706404676,0.5584944056689304,0.6346227887726332,0.5423280423280423,0.009287287623476708,0.00558819454978305,0.011979889063438614,0.008407052383785446,,,,,
y_rv_h5,5,realized_vol,rw_vol,baseline,3771,0.005395363705863974,0.0035691649158868495,1.020363701541573,0.5496153283247687,0.48412698412698413,0.010571455941500118,0.007399779986613823,0.012114962385632566,0.008975349721443406,,,,,
y_rv_h5,5,realized_vol,train_mean,baseline,3771,0.007041545841125038,0.004760047343077791,1.2120444791703078,-0.06183802494482701,0.003992015968063872,0.01512522882604723,0.009443705976604358,0.017884541026940336,0.014026440738745491,,,,,
y_rv_h5,5,realized_vol,zero,baseline,3771,0.010849876972707524,0.008647135772926796,37.78308770488362,0.0,0.10023866348448687,0.021391296859290483,0.01784240842839719,0.02502348412190192,0.022579573282126012,,,,,
